Ticker,Name,Category,YTD,4W,1Y,3Y,5Y,10Y,Yield,Rating,Neg. Yr
ABNYX,AB Bond Inflation Strategy;Advisor,Inflation-Protected Bond,5.58,-0.9966767935156483,5.85,7.88,5.13,3.16,3.37%,4,Y
ABNTX,AB Bond Inflation Strategy;2,Inflation-Protected Bond,5.33,-1.0186747731683967,5.79,7.88,5.13,3.16,3.57%,4,Y
ANBIX,AB Bond Inflation Strategy;I,Inflation-Protected Bond,5.37,-1.008402431981782,5.81,7.86,5.15,3.16,3.42%,4,Y
AUNYX,AB Municipal Bond Inflation Strategy;Adv,Muni National Short,6.24,-0.09000247989665638,6.53,5.77,4.23,2.65,2.14%,5,Y
AUNOX,AB Municipal Bond Inflation Strategy;1,Muni National Short,6.11,-0.09058178366295422,6.49,5.64,4.1,2.54,2.07%,5,Y
AUNTX,AB Municipal Bond Inflation Strategy;2,Muni National Short,6.3,-0.09049980732326926,6.58,5.77,4.22,2.64,2.17%,5,Y
AUNAX,AB Municipal Bond Inflation Strategy;A,Muni National Short,6.11,-0.1800135437208184,6.28,5.49,3.95,2.37,1.91%,5,Y
AUNCX,AB Municipal Bond Inflation Strategy;C,Muni National Short,5.33,-0.09017338813563812,5.53,4.7,3.18,1.62,1.19%,4,Y
AUUYX,AB Select US Equity Portfolio;Advisor,Large Blend,25.53,-18.981104397167346,29.67,25.42,17.02,15.71,0.08%,4,N
AUUIX,AB Select US Equity Portfolio;I,Large Blend,25.56,-19.16839438355997,29.69,25.43,17.04,15.71,0.09%,4,N
QUAYX,AB Small Cap Growth Portfolio;Advisor,Small Growth,9.45,-12.730286381815414,6.01,33.78,24.28,18.11,0.00%,5,Y
QUASX,AB Small Cap Growth Portfolio;A,Small Growth,9.2,-13.668983007388603,5.73,33.45,23.97,17.81,0.00%,4,Y
QUACX,AB Small Cap Growth Portfolio;C,Small Growth,8.44,-21.591987026392506,4.96,32.46,23.05,16.93,0.00%,4,Y
QUAIX,AB Small Cap Growth Portfolio;I,Small Growth,9.45,-12.775931024046017,6.01,33.78,24.27,18.16,0.00%,5,Y
QUAKX,AB Small Cap Growth Portfolio;K,Small Growth,9.26,-13.393056835701275,5.81,33.54,24.02,17.86,0.00%,4,Y
QUARX,AB Small Cap Growth Portfolio;R,Small Growth,8.82,-14.171555741164896,5.34,32.94,23.49,17.42,0.00%,4,Y
ADGYX,AB Core Opportunities Fund;Advisor,Large Blend,17.46,-12.53613143947214,22.82,22.2,15.81,15.57,0.34%,4,N
ADGIX,AB Core Opportunities Fund;I,Large Blend,19.49,-12.339975523264329,22.86,22.25,15.84,15.6,0.36%,4,N
ARSYX,AB Global Real Estate Investment Fund;Advisor,Global Real Estate,19.3,-0.983796698719615,24.95,12.33,9.27,9.59,0.83%,4,Y
AEEIX,AB Global Real Estate Investment Fund;I,Global Real Estate,19.37,-0.9764507626874839,25.02,12.43,9.38,9.68,0.90%,4,Y
CBSYX,AB Global Risk Allocation Fund;Advisor,Tactical Allocation,9.22,-9.567747929845885,12.06,12.97,7.96,6.73,2.93%,4,Y
CABIX,AB Global Risk Allocation Fund;I,Tactical Allocation,9.24,-9.586371710426784,12.12,13.01,8.03,6.84,2.99%,4,Y
ARIIX,AB Global Real Estate Investment Fund II;I,Global Real Estate,19.99,-2.316603823578644,25.65,12.94,9.89,10.09,1.31%,4,Y
APGYX,AB Large Cap Growth Fund;Advisor,Large Growth,24.31,-1.6528112747821577,28.06,33.62,24.72,20.65,0.00%,5,Y
APGAX,AB Large Cap Growth Fund;A,Large Growth,24.04,-1.9583706222549846,27.74,33.28,24.41,20.36,0.00%,5,Y
APGCX,AB Large Cap Growth Fund;C,Large Growth,23.16,-3.3123550258698766,26.79,32.29,23.48,19.45,0.00%,4,Y
ALLIX,AB Large Cap Growth Fund;I,Large Growth,24.27,-1.6844847480599068,28.02,33.59,24.71,20.71,0.00%,5,Y
ALCKX,AB Large Cap Growth Fund;K,Large Growth,23.9,-1.9245573453499583,27.59,33.15,24.3,20.29,0.00%,5,Y
ABPRX,AB Large Cap Growth Fund;R,Large Growth,23.55,-2.17651235953662,27.2,32.75,23.92,19.93,0.00%,4,Y
AAZAX,AB Arizona Portfolio;A,Muni Single State Interm,2.31,0.08778994649795144,2.5,4.16,3.73,3.48,2.36%,4,Y
AMAAX,AB Massachusetts Portfolio;A,Muni Massachusetts,2.55,0.258173263912627,2.73,4.77,3.77,3.36,2.38%,4,Y
AVAAX,AB Virginia Portfolio;A,Muni Single State Interm,2.43,0.17300608445841736,2.52,4.62,3.86,3.43,2.20%,5,Y
ALCVX,AB California Portfolio;Advisor,Muni California Intermediate,2.37,-0.08680753892762638,2.38,4.87,4.26,3.97,2.68%,5,Y
ALCAX,AB California Portfolio;A,Muni California Intermediate,2.13,-0.08680753892762638,2.12,4.61,4.0,3.7,2.43%,5,Y
ABTYX,AB High Income Municipal Portfolio;Advisor,High Yield Muni,6.31,0.24370212793319726,6.63,7.5,6.79,6.43,3.39%,4,Y
ABTHX,AB High Income Municipal Portfolio;A,High Yield Muni,6.06,0.16234138197320175,6.44,7.22,6.51,6.15,3.14%,4,Y
ALTVX,AB National Portfolio;Advisor,Muni National Interm,2.78,0.1860507698946221,2.87,5.07,4.39,4.01,2.28%,5,Y
ALTHX,AB National Portfolio;A,Muni National Interm,2.44,0.1860507698946221,2.71,4.81,4.13,3.74,2.03%,4,Y
ALNVX,AB New York Portfolio;Advisor,Muni New York Intermediate,3.63,0.0967140109696525,3.86,4.91,4.23,3.52,2.48%,5,Y
ALNYX,AB New York Portfolio;A,Muni New York Intermediate,3.39,0.09680763751882192,3.6,4.65,3.97,3.26,2.24%,4,Y
AGRYX,AB Growth Fund;Advisor,Large Growth,17.2,-7.694526165233947,20.62,30.84,23.96,19.12,0.00%,4,N
AGRFX,AB Growth Fund;A,Large Growth,16.94,-8.723903671938144,20.32,30.51,23.65,18.8,0.00%,4,Y
AGFIX,AB Growth Fund;I,Large Growth,17.27,-7.702322410356686,20.71,30.96,24.09,19.26,0.00%,4,N
AGFKX,AB Growth Fund;K,Large Growth,16.81,-8.462815111171391,20.18,30.41,23.57,18.81,0.00%,4,N
AGFRX,AB Growth Fund;R,Large Growth,16.48,-9.208727434152886,19.83,30.01,23.19,18.43,0.00%,4,Y
CBBYX,AB Relative Value Fund;Advisor,Large Value,21.49,-9.318498900721245,25.71,17.85,11.91,13.42,1.14%,4,N
CABDX,AB Relative Value Fund;A,Large Value,21.15,-9.142054615491869,25.45,17.59,11.65,13.11,0.99%,4,N
CBBIX,AB Relative Value Fund;I,Large Value,21.4,-9.078402326598036,25.73,17.89,11.95,13.46,1.18%,4,N
CBBKX,AB Relative Value Fund;K,Large Value,21.24,-9.116807239665082,25.63,17.58,11.7,13.15,0.98%,4,N
CBBRX,AB Relative Value Fund;R,Large Value,20.96,-8.882519826144353,25.07,17.27,11.4,12.85,0.75%,4,N
ATEYX,AB Sustainable Global Thematic Fund;Advisor,nan,20.13,-10.895572602047926,20.38,30.57,21.69,15.29,0.11%,4,Y
ALTFX,AB Sustainable Global Thematic Fund;A,nan,19.85,-11.538852929850949,20.08,30.24,21.39,14.98,0.00%,4,Y
ATECX,AB Sustainable Global Thematic Fund;C,nan,19.03,-14.148954829412569,19.18,29.26,20.48,14.13,0.00%,4,Y
AGTIX,AB Sustainable Global Thematic Fund;I,nan,20.13,-10.869461886936712,20.38,30.61,21.78,15.49,0.14%,4,Y
ATEKX,AB Sustainable Global Thematic Fund;K,nan,19.74,-11.343821616362792,19.95,30.15,21.35,15.07,0.00%,4,Y
ATERX,AB Sustainable Global Thematic Fund;R,nan,19.39,-11.779528840633201,19.57,29.75,20.97,14.72,0.00%,4,Y
ABYSX,AB Discovery Value Fund;Advisor,Small Value,30.73,-10.970911296123255,33.5,18.93,9.02,12.79,0.61%,4,Y
ABASX,AB Discovery Value Fund;A,Small Value,30.41,-10.998915569453972,33.19,18.62,8.75,12.49,0.42%,4,Y
ABSIX,AB Discovery Value Fund;I,Small Value,30.65,-11.228198042112206,33.49,18.91,9.02,12.8,0.62%,4,Y
ABSKX,AB Discovery Value Fund;K,Small Value,30.23,-11.013215951568469,33.01,18.51,8.64,12.41,0.37%,4,Y
AIFRX,Aberdeen Global Infrastructure Fund;Institutional,Infrastructure,9.68,-0.7569398653418321,13.8,13.91,10.62,10.11,3.17%,4,Y
WVCCX,Aberdeen International Small Cap Fund;A,Foreign Small/Mid Growth,14.21,-9.992933414967673,16.92,22.02,16.48,12.43,0.00%,4,Y
WPVAX,Aberdeen International Small Cap Fund;R,Foreign Small/Mid Growth,13.9,-10.48387050256521,16.61,21.67,16.1,12.1,0.00%,4,Y
ABNIX,Aberdeen International Small Cap Fund;Institutional,Foreign Small/Mid Growth,14.59,-9.916005458416953,17.35,22.46,16.87,12.8,0.00%,4,Y
MLSAX,Aberdeen US Sust Leaders Sm Co Fund;A,Small Growth,28.75,-26.816611323034145,26.35,30.07,17.99,10.4,0.00%,4,Y
MLSCX,Aberdeen US Sust Leaders Sm Co Fund;C,Small Growth,27.73,-6.329115261120019,25.86,29.03,17.21,9.66,0.00%,4,Y
GLSRX,Aberdeen US Sust Leaders Sm Co Fund;R,Small Growth,28.21,-30.251254369290116,25.9,29.76,17.64,10.01,0.00%,4,Y
GGUIX,Aberdeen US Sust Leaders Sm Co Fund;Inst,Small Growth,29.02,-24.82325185423361,26.66,30.52,18.38,10.77,0.00%,5,Y
AELSX,Aberdeen US Sust Leaders Sm Co Fund;Inst Svc,Small Growth,28.98,-25.61576196540214,26.6,30.33,18.23,10.56,0.00%,4,Y
STFBX,State Farm Balanced Fund,Allocation--50% to 70% Equity,12.75,-6.839053674863951,16.79,17.59,11.26,9.62,1.80%,4,Y
SFBDX,State Farm Municipal Bond Fund,Muni National Interm,0.57,0.11247778201752207,0.95,4.18,3.6,3.11,2.38%,4,Y
SFHYX,Hundredfold Select Alternative Fund;Service,Tactical Allocation,7.72,-1.6823173480450908,7.75,17.15,11.12,8.25,4.57%,5,Y
HULEX,Huber Select Large Cap Value Fund;Institutional,Large Value,24.4,-1.37096839938528,31.43,23.5,13.14,12.16,1.76%,4,Y
HULIX,Huber Select Large Cap Value Fund;Investor,Large Value,26.32,-1.1272169280415107,31.14,23.12,12.78,11.75,1.44%,4,Y
PHYSX,PIA High Yield Fund;Institutional,High Yield Bond,5.55,0.10029363028793024,7.29,8.52,6.18,6.71,5.91%,4,Y
SEMIX,Semper Short Duration Fund;Institutional,Ultrashort Bond,1.98,-0.20768907088256072,2.33,1.59,2.03,2.02,1.75%,4,Y
CIPMX,Champlain Mid Cap Fund;Advisor,Mid-Cap Growth,19.83,-10.124508867108673,22.15,27.4,19.29,17.17,0.00%,4,N
CIPIX,Champlain Mid Cap Fund;Institutional,Mid-Cap Growth,17.18,-9.834500780027886,22.47,27.72,19.59,17.47,0.00%,4,N
RSRFX,Reaves Infrastructure Fund;Inst,Infrastructure,8.96,-3.165097509327286,14.66,14.43,8.81,9.7,0.35%,4,Y
CAMWX,Cambiar Opportunity Fund;Institutional,Large Value,14.66,-7.653234596448508,20.0,23.99,12.7,12.94,0.75%,4,Y
CAMOX,Cambiar Opportunity Fund;Investor,Large Value,14.52,-7.666330330875058,19.74,23.79,12.49,12.7,0.61%,4,Y
CAMMX,Cambiar SMID Fund;Investor,Mid-Cap Blend,15.97,-11.146244189183056,21.31,20.87,12.87,13.61,0.50%,4,Y
AWEIX,CIBC Atlas Disciplined Equity Fund;Institutional,Large Blend,21.58,-6.047652254358967,25.25,25.73,18.22,16.49,0.51%,5,N
EGFIX,Edgewood Growth Fund;Institutional,Large Growth,21.52,-6.592036511018081,22.18,34.39,25.91,21.35,0.00%,5,N
EGFFX,Edgewood Growth Fund;Retail,Large Growth,21.07,-6.946504067001029,21.68,33.86,25.41,21.01,0.00%,5,N
SCMGX,Sands Capital Global Growth Fund;Institutional,nan,10.65,-7.305937133559108,8.99,30.54,23.26,16.64,0.00%,5,Y
SCGVX,Sands Capital Global Growth Fund;Investor,nan,10.46,-7.32357512468667,8.8,30.3,23.01,16.37,0.00%,4,Y
OPOCX,Invesco Discovery Fund;A,Small Growth,14.25,-22.899843542425224,10.57,34.77,22.93,17.69,0.00%,4,Y
ODICX,Invesco Discovery Fund;C,Small Growth,13.44,-34.81004773063099,9.72,33.75,22.0,16.79,0.00%,4,Y
ODINX,Invesco Discovery Fund;R,Small Growth,13.98,-25.05530402267191,10.28,34.42,22.61,17.37,0.00%,4,Y
ODIYX,Invesco Discovery Fund;Y,Small Growth,14.5,-20.215870690724206,10.83,35.09,23.22,17.99,0.00%,4,N
AFRAX,Invesco Floating Rate ESG Fund;A,Bank Loan,5.47,-0.6812014944881783,6.36,4.92,3.71,4.3,3.63%,4,Y
AFRRX,Invesco Floating Rate ESG Fund;R,Bank Loan,5.22,-0.6793504052694651,5.94,4.61,3.42,4.03,3.38%,4,Y
AFRIX,Invesco Floating Rate ESG Fund;R5,Bank Loan,5.61,-0.6812014944881783,6.52,5.16,3.96,4.58,3.93%,5,Y
AFRYX,Invesco Floating Rate ESG Fund;Y,Bank Loan,5.72,-0.6821243440398997,6.63,5.18,3.97,4.56,3.87%,5,Y
ASRIX,Invesco Global Real Estate Income Fund;R5,Global Real Estate,14.49,0.30833184025631005,19.31,9.81,6.96,7.09,1.91%,4,Y
ASRAX,Invesco Global Real Estate Income Fund;A,Global Real Estate,14.22,0.30801527053900224,19.05,9.49,6.63,6.73,1.64%,4,Y
ASRYX,Invesco Global Real Estate Income Fund;Y,Global Real Estate,14.48,0.30895708396842053,19.29,9.75,6.89,7.0,1.87%,4,Y
SPIDX,Invesco S&P 500 Index Fund;Y,Large Blend,23.15,-1.7258306317861156,27.25,26.21,17.27,16.04,1.11%,4,N
ORSTX,Invesco Short Term Municipal Fund;A,Muni National Short,0.18,-0.26385199377066976,0.21,1.89,1.88,1.91,0.96%,4,N
ORSYX,Invesco Short Term Municipal Fund;Y,Muni National Short,0.42,0.0,0.47,2.14,2.13,2.17,1.21%,4,N
ASMMX,Invesco Summit Fund;A,Large Growth,11.28,-21.927999718522788,10.33,31.32,21.7,17.8,0.00%,4,Y
SMMIX,Invesco Summit Fund;P,Large Growth,11.44,-21.499122907734858,10.52,31.53,21.89,17.97,0.00%,4,Y
SMITX,Invesco Summit Fund;R5,Large Growth,11.49,-21.42237587373275,10.54,31.6,22.0,18.15,0.00%,4,Y
SMMSX,Invesco Summit Fund;S,Large Growth,11.44,-21.693124540893567,10.46,31.45,21.82,17.92,0.00%,4,Y
ASMYX,Invesco Summit Fund;Y,Large Growth,11.52,-21.50537533084822,10.6,31.63,22.0,18.09,0.00%,4,Y
ESMAX,Invesco European Small Company Fund;A,Europe Stock,17.79,-1.2756596828935165,22.84,15.55,10.99,11.86,0.97%,4,Y
ESMYX,Invesco European Small Company Fund;Y,Europe Stock,18.07,-1.7051675508175161,23.27,15.86,11.27,12.14,0.97%,4,Y
SMEAX,Invesco Small Cap Equity Fund;A,Small Blend,16.3,-19.85815798403342,17.21,24.93,12.19,11.72,0.00%,4,Y
SMEIX,Invesco Small Cap Equity Fund;R5,Small Blend,16.67,-17.72747988605907,17.62,25.47,12.65,12.19,0.22%,4,Y
SMEYX,Invesco Small Cap Equity Fund;Y,Small Blend,16.58,-18.98864556687575,17.49,25.23,12.47,12.0,0.06%,4,Y
GTSAX,Invesco Small Cap Growth Fund;A,Small Growth,6.32,-32.834422799913526,5.0,29.13,18.09,16.4,0.00%,4,Y
GTSDX,Invesco Small Cap Growth Fund;C,Small Growth,5.62,-57.107755825899034,4.3,28.17,17.23,15.54,0.00%,4,Y
GTSRX,Invesco Small Cap Growth Fund;R,Small Growth,6.04,-36.36746450587292,4.76,28.8,17.82,16.12,0.00%,4,Y
GTSVX,Invesco Small Cap Growth Fund;R5,Small Growth,6.64,-28.320804805514676,5.38,29.58,18.53,16.84,0.00%,4,Y
GTSYX,Invesco Small Cap Growth Fund;Y,Small Growth,6.55,-31.404228415369523,5.28,29.44,18.39,16.69,0.00%,4,Y
GTSIX,Invesco Small Cap Growth Fund;Investor,Small Growth,6.4,-30.96234649102389,5.12,29.21,18.15,16.43,0.00%,4,Y
GLVAX,Invesco Global Focus Fund;A,nan,1.97,-7.59341516270373,2.4,30.22,18.75,14.48,0.00%,4,Y
GLVCX,Invesco Global Focus Fund;C,nan,1.25,-8.08675956365871,1.63,29.24,17.86,13.61,0.00%,4,Y
GLVNX,Invesco Global Focus Fund;R,nan,1.73,-7.757547015501334,2.15,29.9,18.46,14.18,0.00%,4,Y
GLVYX,Invesco Global Focus Fund;Y,nan,2.19,-7.452252097306232,2.64,30.52,19.04,14.77,0.00%,4,Y
QIVYX,Invesco International Equity Fund;Y,Foreign Large Blend,-2.01,-6.304594957167238,0.94,13.22,9.12,8.75,0.76%,4,Y
OSMAX,Invesco International Small-Mid Company Fund;A,Foreign Small/Mid Growth,9.51,-11.519569620430675,12.77,20.71,16.6,15.92,0.00%,4,Y
OSMCX,Invesco International Small-Mid Company Fund;C,Foreign Small/Mid Growth,8.76,-12.815888254988131,11.89,19.81,15.72,15.05,0.00%,4,Y
OSMNX,Invesco International Small-Mid Company Fund;R,Foreign Small/Mid Growth,9.25,-12.119166283345994,12.45,20.4,16.3,15.62,0.00%,4,Y
OSMYX,Invesco International Small-Mid Company Fund;Y,Foreign Small/Mid Growth,9.77,-11.794710436577315,13.03,21.01,16.88,16.24,0.00%,4,Y
ABRZX,Invesco Balanced-Risk Allocation Fund;A,World Allocation,6.79,-21.562242691258067,9.51,10.82,6.79,5.78,1.10%,4,Y
ABRIX,Invesco Balanced-Risk Allocation Fund;R5,World Allocation,7.01,-21.417200988753706,9.83,11.13,7.11,6.09,1.36%,4,Y
ABRYX,Invesco Balanced-Risk Allocation Fund;Y,World Allocation,7.01,-21.354583780439405,9.77,11.06,7.05,6.04,1.31%,4,Y
OEGAX,Invesco Discovery Mid Cap Growth Fund;A,Mid-Cap Growth,17.35,-19.491064221060785,14.51,33.15,21.55,16.99,0.00%,4,Y
OEGYX,Invesco Discovery Mid Cap Growth Fund;Y,Mid-Cap Growth,17.6,-17.38722106931805,14.81,33.48,21.85,17.33,0.00%,4,Y
QVGIX,Invesco Global Allocation Fund;A,World Allocation,8.31,-12.767740765921054,10.54,14.07,8.47,7.51,0.00%,4,Y
QGRYX,Invesco Global Allocation Fund;Y,World Allocation,8.52,-12.923463706848729,10.85,14.34,8.73,7.8,0.00%,4,Y
ACCBX,Invesco Corporate Bond Fund;A,Corporate Bond,0.11,-1.9329908626696737,0.55,8.94,5.94,5.52,2.70%,4,Y
ACCZX,Invesco Corporate Bond Fund;R,Corporate Bond,-0.13,-2.0592001004487854,0.43,8.67,5.68,5.26,2.46%,4,Y
ACCWX,Invesco Corporate Bond Fund;R5,Corporate Bond,0.52,-1.9305031626209255,0.87,9.27,6.27,5.91,2.99%,5,Y
ACCHX,Invesco Corporate Bond Fund;Y,Corporate Bond,0.35,-1.9280217393609391,0.81,9.19,6.19,5.78,2.94%,5,Y
ISTBX,Invesco Short Term Bond Fund;R5,Short-Term Bond,-0.18,-0.23418623160059046,0.06,2.95,2.35,2.25,1.89%,4,N
OPTAX,Invesco AMT-Free Municipal Fund;A,High Yield Muni,3.89,0.3802308024843156,4.27,7.8,7.49,7.13,3.46%,5,Y
OMFCX,Invesco AMT-Free Municipal Fund;C,High Yield Muni,3.3,0.3831444457300846,3.49,7.02,6.69,6.32,2.73%,4,Y
OMFYX,Invesco AMT-Free Municipal Fund;Y,High Yield Muni,4.12,0.25412936743763215,4.53,8.04,7.74,7.39,3.70%,5,Y
OPCAX,Invesco California Municipal Fund;A,Muni California Long,3.43,0.21714988063538937,3.54,6.52,6.2,6.37,3.09%,5,Y
OCACX,Invesco California Municipal Fund;C,Muni California Long,2.61,0.21809709839651675,2.77,5.71,5.4,5.57,2.36%,5,Y
OCAYX,Invesco California Municipal Fund;Y,Muni California Long,3.55,0.10845200561736912,3.8,6.74,6.43,6.63,3.34%,5,Y
OPAMX,Invesco Environmental Focus Municipal Fund;A,Muni National Long,2.88,-2.968868853211849,3.14,6.06,5.19,4.83,2.39%,5,Y
OPCMX,Invesco Environmental Focus Municipal Fund;C,Muni National Long,2.31,-2.971013345980805,2.44,5.44,4.52,4.1,1.86%,5,Y
OPYMX,Invesco Environmental Focus Municipal Fund;Y,Muni National Long,3.19,-2.971013345980805,3.32,6.3,5.37,4.96,2.63%,5,Y
ACTHX,Invesco High Yield Municipal Fund;A,High Yield Muni,6.07,0.09634131764529912,6.39,6.38,5.94,6.08,4.03%,4,Y
ACTDX,Invesco High Yield Municipal Fund;Y,High Yield Muni,6.31,0.09615605046771308,6.65,6.64,6.23,6.34,4.27%,5,Y
VKLMX,Invesco Intermediate Term Municipal Income Fund;A,Muni National Interm,2.55,0.17406839131490692,2.73,4.38,3.87,3.37,2.46%,4,Y
VKLIX,Invesco Intermediate Term Municipal Income Fund;Y,Muni National Interm,2.79,0.17406839131490692,2.98,4.64,4.15,3.63,2.71%,4,Y
OLCAX,Invesco Limited Term California Municipal Fund;A,Muni Single State Short,1.5,0.0,1.96,4.34,3.81,3.3,2.37%,5,Y
OLCCX,Invesco Limited Term California Municipal Fund;C,Muni Single State Short,0.8,0.0,0.9,3.46,2.98,2.5,1.63%,4,Y
OLCYX,Invesco Limited Term California Municipal Fund;Y,Muni Single State Short,1.73,0.0,2.21,4.58,4.05,3.54,2.61%,5,Y
ATFAX,Invesco Limited Term Municipal Income Fund;A,Muni National Short,0.42,0.0,0.43,2.65,2.28,2.09,1.45%,5,Y
AITFX,Invesco Limited Term Municipal Income Fund;A2,Muni National Short,0.57,0.0,0.68,2.91,2.54,2.34,1.70%,5,Y
ATFIX,Invesco Limited Term Municipal Income Fund;R5,Muni National Short,0.58,0.0,0.69,2.98,2.56,2.35,1.71%,5,Y
ATFYX,Invesco Limited Term Municipal Income Fund;Y,Muni National Short,0.57,-0.08718595160439695,0.59,2.88,2.54,2.33,1.70%,5,Y
VKMMX,Invesco Municipal Income Fund;A,Muni National Long,3.45,0.21738936635184125,3.62,5.51,4.67,4.29,2.98%,4,Y
VMIIX,Invesco Municipal Income Fund;Y,Muni National Long,3.69,0.21738936635184125,3.88,5.8,4.95,4.56,3.23%,4,Y
ONJAX,Invesco New Jersey Municipal Fund;A,Muni New Jersey,5.01,0.09930714185598097,5.3,6.63,5.37,4.58,3.08%,5,Y
ONJCX,Invesco New Jersey Municipal Fund;C,Muni New Jersey,4.27,0.09920862061037806,4.51,5.94,4.65,3.84,2.46%,4,Y
